,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
197,2021-01-26,500,内地企业,Mainland Enterprises,600352,浙江龙盛,Zhejiang Longsheng Group Co Ltd,SHH
198,2021-01-26,500,内地企业,Mainland Enterprises,600362,江西铜业,Jiangxi Copper Co Ltd,SHH
199,2021-01-26,500,内地企业,Mainland Enterprises,600372,中航电子,"CHINA AVIONICS SYSTEMS CO.,LTD.",SHH
200,2021-01-26,500,内地企业,Mainland Enterprises,600373,中文传媒,Chinese Universe Publishing And Media Co Ltd,SHH
201,2021-01-26,500,内地企业,Mainland Enterprises,600383,金地集团,Gemdale Corporation,SHH
202,2021-01-26,500,内地企业,Mainland Enterprises,600390,五矿资本,Minmetals Capital Company Limited,SHH
203,2021-01-26,500,内地企业,Mainland Enterprises,600398,海澜之家,"Heilan Home Co.,Ltd",SHH
204,2021-01-26,500,内地企业,Mainland Enterprises,600406,国电南瑞,"NARI Technology Co., Ltd.",SHH
205,2021-01-26,500,内地企业,Mainland Enterprises,600415,小商品城,Zhejiang China Commodities City Group Co Ltd,SHH
206,2021-01-26,500,内地企业,Mainland Enterprises,600426,华鲁恒升,Shandong Hualu-Hengsheng Chemical Co Ltd,SHH
207,2021-01-26,500,内地企业,Mainland Enterprises,600436,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,SHH
208,2021-01-26,500,内地企业,Mainland Enterprises,600438,通威股份,Tongwei Co Ltd,SHH
209,2021-01-26,500,内地企业,Mainland Enterprises,600482,中国动力,"China Shipbuilding Industry Group Power Co.,Ltd",SHH
210,2021-01-26,500,内地企业,Mainland Enterprises,600486,扬农化工,Jiangsu Yangnong Chemical Co Ltd,SHH
211,2021-01-26,500,内地企业,Mainland Enterprises,600487,亨通光电,"Hengtong Optic-Electric Co.,Ltd",SHH
212,2021-01-26,500,内地企业,Mainland Enterprises,600489,中金黄金,Zhongjin Gold Co Ltd,SHH
213,2021-01-26,500,内地企业,Mainland Enterprises,600497,驰宏锌锗,Yunnan Chihong Zinc&Germanium Co Ltd,SHH
214,2021-01-26,500,内地企业,Mainland Enterprises,600498,烽火通信,Fiberhome Telecommunication Technologies Co Ltd,SHH
215,2021-01-26,500,内地企业,Mainland Enterprises,600516,方大炭素,"Fangda Carbon New Material Co.,Ltd",SHH
216,2021-01-26,500,内地企业,Mainland Enterprises,600517,国网英大,"STATE GRID YINGDA CO.,LTD.",SHH
217,2021-01-26,500,内地企业,Mainland Enterprises,600519,贵州茅台,Kweichow Moutai Co Ltd,SHH
218,2021-01-26,500,内地企业,Mainland Enterprises,600522,中天科技,Jiangsu Zhongtian Technologies Co Ltd,SHH
219,2021-01-26,500,内地企业,Mainland Enterprises,600528,中铁工业,China Railway Hi-tech Industry Corporation Limited,SHH
220,2021-01-26,500,内地企业,Mainland Enterprises,600529,山东药玻,Shandong Pharmaceutical Glass Co Ltd,SHH
221,2021-01-26,500,内地企业,Mainland Enterprises,600535,天士力,"TASLY PHARMACEUTICAL GROUP CO.,LTD",SHH
222,2021-01-26,500,内地企业,Mainland Enterprises,600536,中国软件,China National Software & Service Co Ltd,SHH
223,2021-01-26,500,内地企业,Mainland Enterprises,600546,山煤国际,"Shanxi Coal International Energy Group Co., Ltd",SHH
224,2021-01-26,500,内地企业,Mainland Enterprises,600547,山东黄金,Shandong Gold-Mining Co Ltd,SHH
225,2021-01-26,500,内地企业,Mainland Enterprises,600570,恒生电子,Hundsun Technologies Inc.,SHH
226,2021-01-26,500,内地企业,Mainland Enterprises,600585,海螺水泥,Anhui Conch Cement Co Ltd,SHH
227,2021-01-26,500,内地企业,Mainland Enterprises,600588,用友网络,"Yonyou Network Technology Co., Ltd.",SHH
228,2021-01-26,500,内地企业,Mainland Enterprises,600600,青岛啤酒,Tsingtao Brewery Co Ltd,SHH
